SQLDATE,YEAR,MonthYear,Actor1Name,Actor1Type1Code,Actor2Name,Actor2Type1Code,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
20250101,2025,202501,BENIN,,,,51,51,5,1,3.4,5,1,5,-7.54716981132076,1,Benin,BN,BN,9.5,2.25,https://dailypost.ng/2025/01/01/terrorism-allegations-benin-summons-nigers-envoy/
20250101,2025,202501,BENIN,GOV,,,10,10,1,1,0.0,10,1,5,-8.48287112561177,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
20250101,2025,202501,DIPLOMAT,GOV,,,40,40,4,1,1.0,3,1,3,-7.84313725490196,1,Benin,BN,BN,9.5,2.25,https://www.thecable.ng/benin-republic-summons-nigerien-envoy-over-terrorism-allegations/
20250101,2025,202501,GOVERNANCE,GOV,,,193,193,19,4,-10.0,10,1,10,-0.81276339554485,1,Benin,BN,BN,9.5,2.25,https://kaloumpresse.com/2019/05/27/nouvelle-constitution-en-guinee-une-contribution-au-debat-pr-maurice-togba-zogbelemou/
20250101,2025,202501,TANZANIA,,,,128,128,12,3,-5.0,10,1,10,-0.81276339554485,1,Benin,BN,BN,9.5,2.25,https://kaloumpresse.com/2019/05/27/nouvelle-constitution-en-guinee-une-contribution-au-debat-pr-maurice-togba-zogbelemou/
20250101,2025,202501,BENIN,GOV,,,30,30,3,1,4.0,4,1,4,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,BENIN,GOV,,,114,114,11,3,-2.0,10,1,10,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,BENIN,GOV,,,141,141,14,3,-6.5,10,1,10,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,BENIN,,,,1053,105,10,3,-5.0,1,1,1,3.21637426900585,1,Benin,BN,BN,9.5,2.25,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
20250101,2025,202501,BENIN,GOV,,,51,51,5,1,3.4,1,1,1,3.21637426900585,1,Benin,BN,BN,9.5,2.25,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
20250101,2025,202501,GOVERNOR,GOV,,,51,51,5,1,3.4,6,1,6,3.21637426900585,1,Benin,BN,BN,9.5,2.25,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
20250101,2025,202501,GOVERNOR,GOV,,,110,110,11,3,-2.0,3,1,3,3.21637426900585,1,Benin,BN,BN,9.5,2.25,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
20250101,2025,202501,GOVERNOR,GOV,,,111,111,11,3,-2.0,3,1,3,3.21637426900585,1,Benin,BN,BN,9.5,2.25,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
20250101,2025,202501,BENIN,GOV,,,10,10,1,1,0.0,6,1,6,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,BENIN,GOV,,,30,30,3,1,4.0,1,1,1,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,,,BENIN,,10,10,1,1,0.0,9,1,5,-8.48287112561177,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
20250101,2025,202501,,,BENIN,,141,141,14,3,-6.5,9,1,5,-8.48287112561177,1,Benin,BN,BN,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
